car_name,brand,model,vehicle_age,km_driven,transmission_type,mileage,engine,max_power,seats,selling_price,transmission_type_Encoded,seller_type_Dealer,seller_type_Owner,fuel_type_Cng,fuel_type_Diesel,fuel_type_Electric,fuel_type_Petrol
Maruti Alto,Marut,Alto,9.0,120000,Manual,19.7,796.0,46.3,5,120000,1,0,1,1,0,0,0
Hyundai Grand,Hyundai,Grand,5.0,20000,Manual,18.9,1197.0,82.0,5,550000,1,0,1,0,0,0,1
Hyundai i20,Hyundai,I20,11.0,60000,Manual,17.0,1197.0,80.0,5,215000,1,1,0,0,0,0,1
Maruti Alto,Maruti,Alto,9.0,37000,Manual,20.92,998.0,67.1,5,226000,1,0,1,0,0,0,1
Ford Ecosport,Ford,Ecosport,6.0,30000,Manual,22.77,1498.0,98.59,5,570000,1,1,0,0,1,0,0
Maruti Wagon R,Marut,Wagon,8.0,35000,Manual,18.9,998.0,67.1,5,350000,1,0,1,0,0,0,1
Hyundai i10,Hyundai,I10,8.0,40000,Manual,20.36,1197.0,78.9,5,315000,1,1,0,0,0,0,1
Maruti Wagon R,Maruti,Wagon R,3.0,17512,Manual,20.51,998.0,100.59431352459016,5,410000,1,1,0,0,0,0,1
Hyundai Venue,Hyundai,Venue,2.0,20000,Automatic,18.15,998.0,118.35,5,1050000,0,0,1,0,0,0,1
Maruti Swift,Maruti,Swif,4.0,28321,Manual,16.6,1197.0,85.0,5,511000,1,1,0,0,0,0,1
Hyundai Verna,Hyunda,Verna,8.0,65278,Manual,22.32,1582.0,126.32,5,425000,1,1,0,0,1,0,0
Renault Duster,R3Nault,Duster,5.0,50000,Manual,19.64,1461.0,108.45,5,750000,1,0,1,0,1,0,0
Mini Cooper,Mini,Cooper,4.0,6000,Automatic,14.41,1998.0,174.52500000000003,5,3250000,0,1,0,0,0,0,1
Maruti Ciaz,Marut,Ciaz,5.0,76000,Manual,28.09,1248.0,88.5,5,650000,1,1,0,0,1,0,0
Maruti Swift,Maruti,Swift,5.0,20000,Manual,25.2,1248.0,74.0,5,627000,1,1,0,0,1,0,0
