car_name,brand,model,vehicle_age,km_driven,transmission_type,mileage,engine,max_power,seats,selling_price,transmission_type_Encoded,seller_type_Dealer,seller_type_Owner,fuel_type_Cng,fuel_type_Diesel,fuel_type_Electric,fuel_type_Petrol,fuel_type,seller_type,year,engine_mileage_ratio,power_engine_ratio,km_per_year,power_mileage_ratio
Maruti Alto,Marut,Alto,9.0,120000,Manual,19.7,796.0,46.3,5,120000,1,0,1,1,0,0,0,Cng,Owner,2017.0,40.40609137055838,0.05816582914572864,13333.333333333334,2.350253807106599
Hyundai Grand,Hyundai,Grand,5.0,20000,Manual,18.9,1197.0,82.0,5,550000,1,0,1,0,0,0,1,Petrol,Owner,2021.0,63.333333333333336,0.06850459482038429,4000.0,4.338624338624339
Hyundai i20,Hyundai,I20,11.0,60000,Manual,17.0,1197.0,80.0,5,215000,1,1,0,0,0,0,1,Petrol,Dealer,2015.0,70.41176470588235,0.06683375104427736,5454.545454545455,4.705882352941177
Maruti Alto,Maruti,Alto,9.0,37000,Manual,20.92,998.0,67.1,5,226000,1,0,1,0,0,0,1,Petrol,Owner,2017.0,47.70554493307839,0.06723446893787574,4111.111111111111,3.2074569789674947
Ford Ecosport,Ford,Ecosport,6.0,30000,Manual,22.77,1498.0,98.59,5,570000,1,1,0,0,1,0,0,Diesel,Dealer,2020.0,65.788317962231,0.06581441922563418,5000.0,4.329819938515591
Maruti Wagon R,Marut,Wagon,8.0,35000,Manual,18.9,998.0,67.1,5,350000,1,0,1,0,0,0,1,Petrol,Owner,2018.0,52.80423280423281,0.06723446893787574,4375.0,3.5502645502645502
Hyundai i10,Hyundai,I10,8.0,40000,Manual,20.36,1197.0,78.9,5,315000,1,1,0,0,0,0,1,Petrol,Dealer,2018.0,58.791748526522596,0.06591478696741855,5000.0,3.8752455795677805
Maruti Wagon R,Maruti,Wagon R,3.0,17512,Manual,20.51,998.0,100.59431352459016,5,410000,1,1,0,0,0,0,1,Petrol,Dealer,2023.0,48.65919063871282,0.10079590533526069,5837.333333333333,4.9046471733101
Hyundai Venue,Hyundai,Venue,2.0,20000,Automatic,18.15,998.0,118.35,5,1050000,0,0,1,0,0,0,1,Petrol,Owner,2024.0,54.98622589531681,0.1185871743486974,10000.0,6.520661157024794
Maruti Swift,Maruti,Swif,4.0,28321,Manual,16.6,1197.0,85.0,5,511000,1,1,0,0,0,0,1,Petrol,Dealer,2022.0,72.10843373493975,0.07101086048454469,7080.25,5.120481927710843
Hyundai Verna,Hyunda,Verna,8.0,65278,Manual,22.32,1582.0,126.32,5,425000,1,1,0,0,1,0,0,Diesel,Dealer,2018.0,70.87813620071684,0.07984829329962073,8159.75,5.659498207885305
Renault Duster,R3Nault,Duster,5.0,50000,Manual,19.64,1461.0,108.45,5,750000,1,0,1,0,1,0,0,Diesel,Owner,2021.0,74.38900203665987,0.0742299794661191,10000.0,5.521894093686354
Mini Cooper,Mini,Cooper,4.0,6000,Automatic,14.41,1998.0,174.52500000000003,5,3250000,0,1,0,0,0,0,1,Petrol,Dealer,2022.0,138.65371269951422,0.08734984984984986,1500.0,12.11138098542679
Maruti Ciaz,Marut,Ciaz,5.0,76000,Manual,28.09,1248.0,88.5,5,650000,1,1,0,0,1,0,0,Diesel,Dealer,2021.0,44.428622285510855,0.07091346153846154,15200.0,3.1505873976504093
Maruti Swift,Maruti,Swift,5.0,20000,Manual,25.2,1248.0,74.0,5,627000,1,1,0,0,1,0,0,Diesel,Dealer,2021.0,49.523809523809526,0.05929487179487179,4000.0,2.9365079365079367
Mercedes-Benz C-Class,M3Rcedes-Benz,C-Class,7.0,65000,Automatic,19.27,2143.0,170.0,5,1425000,0,1,0,0,1,0,0,Diesel,Dealer,2019.0,111.20913336792943,0.07932804479701354,9285.714285714286,8.822003113648158
Maruti Swift,Maruti,Swift,7.0,62200,Manual,28.4,1248.0,100.59431352459016,5,425000,1,1,0,0,1,0,0,Diesel,Dealer,2019.0,43.94366197183099,0.0806044178882934,8885.714285714286,3.542053293119372
Toyota Innova,Toyota,Innov,8.0,110000,Manual,12.99,2159.5,100.6,8,605000,1,0,1,0,1,0,0,Diesel,Owner,2018.0,166.24326404926867,0.046584857605927295,13750.0,7.744418783679753
Maruti Baleno,Maruti,Baleno,6.0,20000,Manual,19.692493169398904,1197.0,83.1,5,600000,1,0,1,0,0,0,1,Petrol,Owner,2020.0,60.78458373468296,0.06942355889724311,3333.3333333333335,4.219882128949168
Maruti Swift Dzire,Maruti,Swift Dzire,5.0,40000,Manual,20.85,1197.0,83.14,5,575000,1,0,1,0,0,0,1,Petrol,Owner,2021.0,57.41007194244604,0.06945697577276524,8000.0,3.9875299760191845
Volkswagen Vento,Volkswagen,V3Nto,8.0,47000,Manual,16.09,1598.0,103.2,5,425000,1,1,0,0,0,0,1,Petrol,Dealer,2018.0,99.31634555624612,0.06458072590738423,5875.0,6.413921690490988
