car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti Alto,Marut,Alto,9,120000,Individual,Gas,  Manual,19.7,796,46.3,5,120000
Hyundai Grand,hyundai,Grand,5,20000,Owner,,Manual,18.9,1197,82.0,5,550000
Hyundai i20,Hyundai,i20,11,60000,,Gasoline,Manual,17.0,1197,80.0,5,215000
Maruti Alto,Maruti,Alto,9,37000,Individual,Petrol,Manual,20.92,998,67.1,5,226000
Ford Ecosport,  Ford,Ecosport,6,30000,Car Dealer,Diesel,Manual,22.77,1498,98.59,5,570000
Maruti Wagon R,Marut,Wagon,8,35000,Individual,PETroL,M/T,18.9,998,67.1,5,350000
Hyundai i10,Hyundai,i10,8,40000,DEALer,Petrol,Manual,20.36,1197,78.9,5,315000
Maruti Wagon R,  Maruti,Wagon R,3,17512,Dealer,petrol,M/T,20.51,998,67.04,5,410000
Hyundai Venue,Hyundai,Venue,2,20000,Individual,Petrol,AUTO,18.15,998,118.35,5,1050000
Maruti Swift,Maruti,Swif,4,28321,  Dealer,Gasoline,Manual,16.6,1197,85.0,5,511000
Hyundai Verna,Hyunda,Verna,8,65278,Dealer,Diesel,Manual,22.32,1582,126.32,5,425000
Renault Duster,R3nault,Duster,5,50000,Individual,Diesel,MANUAL,19.64,1461,108.45,5,750000
Mini Cooper,Mini,Cooper,4,6000,Dealer,Petrol,Automatic,14.41,1998,189.08,5,3250000
Maruti Ciaz,Marut,Ciaz,5,76000,Car Dealer,Diesel,M/T,28.09,1248,88.5,5,650000
Maruti Swift,Maruti,Swift,5,20000,,Diesel,Manual,25.2,1248,74.0,5,627000
Mercedes-Benz C-Class,  M3rcedes-Benz,C-Class,7,65000,Dealer ,Diesel,Automatic,19.27,2143,170.0,5,1425000
Maruti Swift,Maruti,Swift,7,62200,Dealer,Diesel Fuel,Manual,28.4,1248,74.0,5,425000
Toyota Innova,Toyota,Innov,8,110000,Owner,Diesel,Manual,12.99,2494,100.6,8,605000
Maruti Baleno,Maruti,Baleno,6,20000,Individual,Gasoline,Manual,21.4,1197,83.1,5,600000
Maruti Swift Dzire,,Swift Dzire,5,40000,Individual,Gasoline,,20.85,1197,83.14,5,575000
Volkswagen Vento,Volkswagen,V3nto,8,47000,Dealer,Petrol,Manual,16.09,1598,103.2,5,425000
Maruti Alto,mArUTi,Alto,8,25000,Dealer,Petrol,MAN,20.92,998,67.1,5,230000
Hyundai Creta, Hyundai,Creta,2,15000,Individual,Diesel Fuel,MAN,19.67,1582,126.2,5,1225000
Honda City,Honda,City,6,50000,Owner,Gasoline,Manual,17.4,1497,117.3,5,750000
Mahindra Bolero,Mahindra,Bolero,10,25000,Owner,Diesel,Manual,13.6,2523,63.0,7,350000
Maruti Swift Dzire,Maruti,Swift Dzire,6,90000,Owner,Diesel,mANual,26.59,1248,74.0,5,600000
Maruti Swift Dzire,Maruti,swift dzire,8,45000,Dealer,Diesel,Manual,26.59,1248,74.0,5,390000
Honda City,Honda  ,City,14,77253,dealer,Gasoline,Manual,17.7,1497,78.0,5,145000
Hyundai i20, Hyunda,i20,3,25000,Individual,,M/T,17.19,1197,81.86,5,700000
Toyota Fortuner,Toyota,Fortuner,8,110000,Owner,Diesel,Manual,13.0,2982,168.5,7,1150000
Renault KWID,Renault,KWID,4,30000,Individual,Petrol,MAN,23.01,999,67.0,5,340000
Honda Amaze,Honda,Amaze,5,39993,Dealer,Gas,M/T,18.6,1199,88.76,5,465000
Hyundai Santro,Hyundai,Santro,12,80000,Owner,Petrol,MAN,17.92,1086,62.1,5,125000
Mahindra XUV500,Mahindr,XUV500,9,185000,Individual  ,Diesel,manual,15.1,2179,140.0,7,600000
Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5,380000
Hyundai i20,hYuNdaI,i20,3,15000,Owner,Diesel,MAnUaL,22.54,1396,88.73,5,850000
Hyundai i20,HYUnDaI,i20,3,40000,Individual,Gas,Manual,18.6,1197,81.83,5,598000
Honda City,HONDA,City,6,31180,Dealer,Petrol,,18.0,1497,117.3,5,700000
Maruti Swift Dzire,Maruti,Swift Dzire,7,56000,Dealer,Diesel,Manual,23.4,1248,74.0,5,410000
Maruti Baleno,Maruti,Baleno,5,52427,Dealer,,automatic,21.4,1197,83.1,5,590000
Mahindra Bolero,Mahindra,Bolero,1,40000,Individual,Diesel,M/T,21.0,1498,74.96,7,850000
Mahindra KUV100,Mahindra,KUV100,3,17000,Individual,PETrOl,,18.15,1198,82.0,5,550000
Maruti Baleno,Maruti,Baleno,5,22000,,Petrol,Manual,15.4,1590,94.0,5,625000
Maruti Swift Dzire,Maruti ,Swift Dzire,5,54000,Individual,Petrol ,Manual,20.85,1197,83.14,5,600000
Maruti Wagon R,Maruti,wagon r,2,10000,Individual,Gas,Manual,20.51,998,67.04,5,445000
Maruti Ignis,Maruti,Ignis,2,20000,Individual,Gasoline,Manual,20.89,1197,81.8,5,530000
Maruti Wagon R,Maruti,Wagon R,3,53237,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,410000
